track,Album,Artist,release_date,All Time Rank,January,February,March,April,May,June,July,August,September,October,spotify_streams,youtube_streams,YouTube Likes,TikTok Posts,TikTok Likes,tiktok_streams,YouTube Playlist Reach,Apple Music Playlist Count,apple_music_streams,SiriusXM_streams,Deezer Playlist Count,deezer_streams,Amazon Playlist Count,pandora_streams,Pandora Track Stations,soundcloud_streams,Shazam Counts
La Dif��,YHLQMDLG,Bad Bunny,2/29/2020,3112,,,,,,,,,,,718032755,304269630,2445183,16400,5979412,59989029,20259925,75,12613,157,22,265221,14,57602908,15742,,718684
LA DURANGO,LA DURANGO,Peso Pluma,5/9/2024,1447,,,,,,,,,,,42032763,12120768,209919,,,,2297932,28,17,,7,1333180,25,1015922,311,,79826
LA FALDA,LA FALDA - Single,Myke Towers,11/22/2023,416,,,80082034,,,,,,,,367399860,104584293,726526,,1146,14800,1109634551,57,42471,593,54,6789731,30,2176876,1851,1095337,1040348
LA FAMA,LA FAMA (feat. The Weeknd) - Single,ROSAL�,11/11/2021,1453,,,,,,,,,,,459476092,301677718,2245842,55272,38358977,399821879,462649059,87,63710,464,46,1485067,45,3528286,5647,,3574604
La Familia Dedo de Cuqu�,La Familia Dedo de Cuqu��n - Si,Cleo y Cuqu��n - Familia Tele,12/10/2023,3022,,,,,,,,,,,3560,119311487,439743,,,,,,,,,,,,,,
La Forma en Que Me Miras,La Forma en Que Me Miras,Super Yei,8/4/2018,1560,,,,,,,,,,,541468772,1216222199,4076269,305900,27834409,269813115,111170885,9,666,,1,51411,4,10427953,4466,,1768304
La Gozadera,Full Circle: The Live Anthology,Gente De Zona,11/20/2011,3286,,,,,,,,,,,613120952,1740143685,4862755,134831,27997984,266381642,268187596,105,19259,59,48,157490,46,105181711,88056,,4595901
La G��e,La G��erita - Si,Grupo Marca Registrada,4/26/2024,3645,,,,,,,,,,,27813921,12969075,88088,,,,,5,5,,2,39467,,104690,293,,103648
LA INOCENTE,Microdosis,Mora,4/1/2022,1461,,,,,,,,,,,736983718,97778011,619019,343800,74611902,559279404,,42,20516,48,21,10512345,36,2465152,1503,,1849683
La Intenci�,La Intenci�,Christian Nodal,1/26/2024,1831,,,,,,,,,,,119369458,38415068,389722,43600,16305600,171858600,315995610,18,8223,1,18,103202,25,9198529,1038,,380747
La Jeepeta,La Jeepeta,Nio Garcia,1/2/2020,2958,,,,,,,,,,,80772450,863475923,3921294,10800,3668888,24174846,15003867,3,3529,,2,208,31,6217592,8328,,237885
La Jeepeta - Remix,La Jeepeta (Remix),Nio Garcia,4/24/2020,3625,,,,,,,,,,,672449007,,,1264802,76708336,770493680,,68,13831,24,27,345282,2,48472013,23470,,1329269
La Jumpa,La Jumpa,Arc��,11/30/2022,726,,,,,,,,,,,716829483,131057530,1300009,46605,37630552,348775704,1184569,59,43702,11,20,879528,77,12867947,4374,,1521416
La kiffance,La kiffance,Naps,2/26/2021,4271,,,,,,,,,,,224163089,250952705,1213244,168782,41456214,443031452,3155590,43,16408,,20,1758780,10,,,959148,1206078
La La La (Brazil 2014),Shakira. (Deluxe Version),Shakira,3/14/2014,4395,,,,,,,,,,,125560682,1315361520,7019819,1954896,107672504,1601097526,228839908,11,1166,102,7,129945,2,,,,1319100
La llama que Baila,La llama que Baila,El Reino Infantil,6/10/2022,508,,,,,,,,,,,665611,1209387613,3358774,,,,,2,1,,,,,,,,
La Llevo Al Cielo (Ft. ��engo F,La Llevo Al Cielo (Ft. ��engo F,Chris Jedi,5/20/2022,3471,,,,,,,,,,,411006233,6186421,60126,,,,,29,19221,60,12,1978603,21,18018765,2734,,1029664
La Mam�� de la M,La Mam�� de la Mam�� (feat. Chael Produciendo),El Alfa,4/8/2021,3114,,,,,,,,,,,235729934,50135254,444622,1307941,285423960,2710660328,,17,8349,28,1,8291,7,24518275,26630,,2462313
La Mejor Version de Mi,La Mejor Versi��n d,NATTI NATASHA,2/12/2019,2398,,,,,,,,,,,109221089,974345116,4887786,740743,14861761,284819297,106854506,13,2579,344,2,1181,22,29092884,13020,,
La Mordidita,A Quien Quiera Escuchar (Deluxe Edition),Ricky Martin,2/10/2015,3706,,,,,,,,,,,301574752,1379939508,3240310,260012,30274438,236524309,153887121,45,5578,30,22,49244,36,26411787,28118,,3635979
La Morocha,La Morocha,Luck Ra,7/7/2023,710,,,,,,,,,,,161280933,289561672,967949,459808,20550339,348308009,230517294,6,7238,,19,5276316,4,1482,31,,214253
LA NENA,LA NENA - Single,Lyanno,4/11/2024,3643,,,,,,,,,,,29683046,7710244,112034,,,,2613123,10,790,,6,88547,21,770441,82,,71193
LA NOCHE DE ANOCHE,EL ��LTIMO TOUR DEL M,Bad Bunny,11/27/2020,1376,,,,,,,,,,,990189999,354318464,2521106,183400,27563213,229672086,4102070,134,34273,81,71,2794787,49,87824752,17737,,1742777
la noia,La noia,Angelina Mango,2/7/2024,1853,,,,,,,,,,,81694468,47424040,377348,,173700,4000000,251776060,28,14334,,15,3191554,23,3551,,12350,262811
La Nota,La Nota,Manuel Turizo,10/8/2020,2648,,,,,,,,,,,560949285,298415218,1583803,267500,58834137,576560432,35850480,124,22639,,21,1781933,49,29259483,3194,,1440068
LA PEOPLE,LA PEOPLE,Peso Pluma,6/22/2023,2143,,,,,,,,,,,261311116,73174350,286276,1153,927518,10791305,37990067,4,20,,2,4836584,5,6592452,5558,3505647,220819
LA PEOPLE II,LA PEOPLE II,Peso Pluma,3/21/2024,978,,,,,,,,,,,123243341,53762979,472820,,171600,3100000,,13,8,,4,1081795,14,2185039,1024,,121403
La Playa,La Playa,Myke Towers,4/9/2019,3290,,,,,,,,,,,322757243,640816810,3577858,191433,28268064,215995105,4594525,26,1370,27,5,23543,16,18991444,10517,,833830
La player (Bandolera),La Player (Bandolera),Zion & Lennox,2/23/2018,3520,,,,,,,,,,,603009543,752863338,1897331,25591,2655600,33166882,107154352,33,13214,19,32,555813,42,45328272,9771,386024,1628610
LA RANGER (feat. Myke Towers),The Academy: Segunda Misi�,The Academy: Segunda Misi�,3/28/2024,920,,,,,,,,,,,79786203,32616728,216834,,,,13323878,29,4514,9,25,1896889,18,545735,194,,236268
La Romana,X 100PRE,Bad Bunny,12/23/2018,4191,,,,,,,,,,,410897040,428412819,3256737,15791,10068979,79348588,26238783,37,5585,19,8,184206,3,47439393,26404,,2764964
La Rompe Corazones,La Rompe Corazones,Daddy Yankee,1/13/2017,2093,,,,,,,,,,,526264393,1423626083,4711667,307866,4422112,34073736,252888925,38,7362,51,30,301234,15,197389672,41508,,1741563
La Santa,YHLQMDLG,Bad Bunny,2/29/2020,2361,,,,,,,,,,,915557792,372427636,1612028,13000,8552412,69210381,36886200,86,10704,,25,403347,23,86039052,13906,,1024927
La solution,Voodoo belge,Marka,2/3/2023,1871,,,,,,,,,,,1537,414936783,442757,,,,,,3,,,,,,,,
La Triple M,La Triple M,Mawell,6/2/2023,671,,,,,,,,,,,44557662,88674781,431451,2644100,87005227,1729443890,54141730,1,7638,,1,210,,336332,689,,497340
La Triple T,La Triple T,TINI,5/5/2022,2877,,,,,,,,,,,265244748,219911011,1029281,439688,63221453,837142924,38389154,29,17457,424,21,249287,16,383784,211,,226814
La T��,La T��,Farruko,7/24/2020,3061,,,,,,,,,,,476699016,371106551,2197396,326403,13434496,201544043,26714074,77,20284,102,21,324522,34,34431411,10800,,1386076
La Vaca Lola,Las 20 Mejores Canciones Infantiles,Toy Cantando,6/10/2013,2250,,,,,,,,,,,38260236,2809354638,7825584,22366,1533921,72165422,,,8,,,,,,,,4506
La Vida Sin Ti,La Vida Sin Ti,Rels B,4/22/2024,2581,,,,,,,,,,,50171337,9998588,151631,,,,764121,15,418,,8,173353,18,7872,9,,101871
La V��c,La V��c,Xavi,8/19/2023,280,,,,,,,,,,,521116293,427625497,2560068,33444,11882123,107781205,1392579416,18,3852,82,20,14503583,22,10154861,13336,,988007
La ��ltima Vez (Yo Te Per,La ��ltima Vez (Yo Te Perd��),,5/2/2024,3381,,,,,,,,,,,,,,,,,,,,,,,,,,,1606561
La_Original.mp3,La_Original.mp3,Emilia,11/2/2023,829,,,,,,,,,,,184441175,109532952,635058,193100,40676589,529217516,483390087,55,34836,1320,52,631203,32,39845,57,,400818
Laad Piya Ke,Laad Piya Ke,Raju Punjabi,5/4/2022,2087,,,,,,,,,,,17675254,573015231,1299244,,,,23808458,,,,,,,14,,,65032
Labios Mordidos (with KAROL G),Labios Mordidos (with KAROL G),Kali Uchis,11/24/2023,2883,,,,,,,,,,,91553012,48246407,514286,321,234356,,381759122,20,6121,126,36,7295757,9,6723078,1095,483249,196870
Lace It,Lace It (with Eminem & benny blanco),Juice WRLD,12/16/2023,2023,,,,,,,,,,,70180212,17251406,381254,,,,1318430001,3,2175,8,6,116566,12,2966991,1425,3068734,105692
LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,212,,,,,,,,,,,684204777,362779953,1617493,777100,112400175,1207597707,297822969,51,4811,27,22,13901598,32,21933646,13520,5928532,1567605
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,143,,,,,,,,,,,94635338,944314,17943,1300000,182937084,1542242100,,13,,2,,,8,684557,1079,,1597467
"Lagdi Lahore Di (From ""Street Dancer 3D"")","Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,1/15/2020,2713,,,,,,,,,,,112851903,540940484,2901887,2918900,17299421,295549159,169513706,7,531,,,,3,,,,125294
LAGUNAS,LAGUNAS,Peso Pluma,6/22/2023,1339,,,,,,,,,,,301396080,85636375,455525,133500,29951984,232731548,,7,66,,4,1187237,2,8892991,5881,6255854,728319
Lahore,Kultural Inkursions,Guru Randhawa,7/27/2018,3496,,,,,,,,,,,77999,1174983850,6804449,,433,6457,166548749,,,,,,,,,,
Lahore Brand,Lahore Brand - Single,Mazhar Rahi,5/1/2022,4278,,,,,,,,,,,49081,3815187,25561,2500670,17004348,258152598,,,,,,,,,,,8894
LAISSE MOI,LAISSE MOI,KeBlack,9/8/2023,2743,,,,,,,,,,,76805130,62061765,290394,110539,21137395,261958744,196973081,7,12888,,17,6791140,17,587,,276434,972269
LALA,LALA - Single,Myke Towers,3/22/2023,16,,,,,,,,,,,925655569,934302031,4294166,11054500,521725116,7499234052,2042145659,94,92231,228,60,5633435,83,12171026,13242,871978,2765808
Lalala,Lalala,Y2K,6/28/2019,1010,,,,,,,,,,,968133091,707665227,10665380,2733359,556612849,6342877983,368355428,76,25256,267,33,6401270,7,,,,9155025
Lalala,Lalala - Single,ati2x06,1/17/2024,1751,,,,,,,,,,,966112900,,,,,,,,,,,,,,,,
Lalala - Ilkan Gunuc Remix,Lalala (Ilkan Gunuc Remix),Y2K,10/28/2019,2515,,,,,,,,,,,28240865,,,7210799,121538491,1680010594,,14,2644,,6,4972,,37628,,182052,1994181
LALALALA,ROCK-STAR,Stray Kids,11/10/2023,803,,,,,,,,,,,154592041,161998287,2825345,184200,94512843,430312931,770557253,7,3470,11,6,249201,38,1737006,2335,952946,279165
LALALI,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,2858,,,,,,,,,,,11282322,23217618,887493,,2229,22700,5822984,1,70,,2,5672,,26409,24,,15240
LALISA,LALISA,LISA,9/10/2021,839,,,,,,,,,,,502655066,900358198,23155453,909216,188844723,1612602199,255397268,19,8719,134,13,16498,25,2844171,4038,,1084041
Lambiyan Raataan,Lambiyan Raataan - Single,Jubin Nautiyal,8/27/2021,644,,,,,,,,,,,53437,1498796051,11372639,580,73176,950474,251850858,,,,,,,,,,
Lan,Lan - Single,Zeynep Bast�,3/8/2024,362,,,,,,,,,,,81246715,146249969,590112,,,,88179577,11,5899,,5,1585206,,,,,444123
Landmines,Landmines,Sum 41,9/27/2023,3748,,,,,,,,,,,18708085,6801971,145932,,5671,68136,5104817,14,81065,204,4,159332,27,2902311,327,,325793
Las Morras,Las Morras,Peso Pluma,4/4/2023,2004,,,,,,,,,,,253711656,148812952,859486,21800,6180710,79415641,294580381,17,547,5,3,197981,6,17906765,2707,,366772
Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,1/1/2010,2084,,,,,,,,,,,1144535829,1604084148,8081370,96013,58785473,592235618,1563364588,85,120606,79,40,395080,31,352629859,633232,,4134026
Last Heartbreak Song,The Year I Turned 21,Ayra Starr,5/30/2024,3580,,,,,,,,,,,6073281,3597876,151835,,,,32844745,61,184,,17,1458694,65,126908,23,27,102468
Last Last,Last Last,Burna Boy,5/12/2022,346,,,,,,,,,,,410722289,332556651,1906835,260214,93902403,1049244970,306416991,203,214958,2031,30,258278,94,15787293,18736,16995425,4840000
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,157,,,,,,,,,,,922010059,141852059,567295,285414,61112010,811685466,182412108,106,18364,1846,7,33712,38,307115852,200650,13022144,2665347
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,681,,,,,,,,,,,922010059,,,,,,,49,546787,,,,4,,,,
Last Night Lonely,Last Night Lonely,Jon Pardi,2/17/2022,4269,,,,,,,,,,,134725621,22650713,114566,3344,1325349,14258097,255579464,8,193502,171,4,132683,18,70178744,2712,,369402
Last Time I Saw You,Last Time I Saw You,Nicki Minaj,9/1/2023,3818,,,,,,,,,,,66513420,15485803,395896,31322,8225518,87668727,39600226,27,38078,39,13,357821,15,15827496,2448,,356162
Latch,Settle,Disclosure,1/1/2013,1933,,,,,,,,,,,1017438306,569083040,3417150,202721,80786067,568058521,162617345,219,25714,239,105,1023099,72,346547845,609122,43896113,15182802
Late At Night,Late At Night,Roddy Ricch,6/4/2021,2990,,,,,,,,,,,257661585,23225337,276490,48458,21485493,187075625,668848,102,14552,559,16,101316,25,93599614,18917,,1681335
Late Night Talking,Harry's House,Harry Styles,5/20/2022,258,,,,,,,,,,,959639297,151113156,2809492,101923,64491271,580526441,3350044035,153,837037,2290,96,9426291,50,68783337,10636,,4053289
LATTE (feat. Maria Becerra),The Academy: Segunda Misi�,The Academy: Segunda Misi�,3/28/2024,2806,,,,,,,,,,,25813787,27340680,205074,,,,10030985,1,477,,,,1,95858,48,,59027
Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,8/14/2020,645,,,,,,,,,,,962634706,645367972,5525087,59816,28688641,232612189,200715765,170,1830,49,71,208959,29,111165919,54849,,2255595
Laung Laachi Title Track,"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,2/22/2018,2422,,,,,,,,,,,30173434,1535932925,6444235,,,,27338879,6,,,,,2,,,,256247
Lavender Haze,Midnights,Taylor Swift,10/21/2022,1090,,,,,,,,,,,711138043,26695871,411132,90029,35207211,302181012,,66,249917,1936,11,844207,54,54466202,20497,,900372
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,77,,,,,,,,,,,,12489728,339414,42900000,919945708,12221514692,,,,,,,,5678792,,,
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,104,,,,,,,,,,,61382407,9977490,201210,37726462,9239474,147837262,,15,10152,,5,59317,1,,,,3819161
Lay Low,Lay Low,Ti��,1/6/2023,756,,,,,,,,,,,406141247,91367578,707830,173461,21756073,588640576,335569922,93,142340,498,66,1547811,3,,,1772021,3933085
LDR,LDR,Shoti,8/27/2022,1365,,,,,,,,,,,37027643,592859063,1724454,74737,5398232,70116244,11009395,1,,,,,,,,,44360
Le Monde,Talk to Me (Original Soundtrack),Richard Carter,8/4/2023,1568,,,,,,,,,,,84141101,1453321,28558,664901,204805977,2320937018,,2,3186,,,,,86798,291,1459383,2508208
Le Va Doler,Le Va Doler,Grupo Frontera,5/25/2023,3187,,,,,,,,,,,129573063,124184578,417710,48700,14400034,168267163,14666486,8,1653,,2,26463,6,19473307,1979,,236018
Lean On (feat. Major Lazer & DJ Snake),Peace Is The Mission,Major Lazer,11/20/2011,846,,,,,,,,,,,2080878370,308933095,2370617,270919,33270068,289518843,216000,497,168731,,250,2469856,96,649970533,356393,231244214,26993119
Lean On (J Balvin & Farruko Remix),Peace Is The Mission (Remixes),Major Lazer,9/4/2015,1030,,,,,,,,,,,53822187,3617929617,17418989,,37,956,1393748323,,,,1,234,,,,,
Lean Wit Me,Lean Wit Me,Juice WRLD,5/22/2018,1001,,,,,,,,,,,880781313,432457883,3689786,28508,3880481,33981823,5946423,21,835,113,10,71637,2,59762272,55696,120023575,934193
LEATHER,LEATHER,MAKAELA,1/27/2023,1000,,,,,,,,,,,1696,604258394,1611760,,,,,,6,,,,,,,,
Leave a Light On,Leave a Light On,Tom Walker,10/13/2017,3220,,,,,,,,,,,616379687,348579880,3152170,122108,26221402,205457689,22801432,70,78118,,41,87817,18,13245878,14608,10102090,13625815
Leave Before You Love Me (with Jonas Brothers),Summer 2021,Marshmello,4/28/2021,810,,,,,,,,,,,844630935,269892715,2020373,71293,17326017,182430905,993825483,147,380249,940,21,620249,27,139703215,15853,,7138195
"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control,5/29/2019,2931,,,,,,,,,,,239850720,137567703,1400248,494841,93154485,592960684,14347458,20,15,,4,205,9,74465169,23860,51398155,2282568
Leave Me Alone,Leave Me Alone,Flipp Dinero,3/14/2018,2782,,,,,,,,,,,651863663,364860562,3465425,137815,50621671,318020837,133910430,38,34933,223,10,12666,1,163918855,129261,,3263766
Leave Out All The Rest,Papercuts,Linkin Park,4/12/2024,1329,,,,,,,,,,,270590102,,,,,,,,,,,,,,,,1782705
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,161,,,,,,,,,,,1312168384,993324548,9537455,1503567,369280607,3350704343,2421128623,308,557867,309,120,1553392,103,149304590,91366,,10288388
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version],sped up nightcore,7/18/2022,2807,,,,,,,,,,,3492767,412119147,8660129,122000,1891966,24601626,5322461166,1,,,,,8,8844,,,
Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,6/24/2022,1542,,,,,,,,,,,947763871,65306295,1305561,5486,2914991,20119789,,24,171718,1282,1,30007,,,,,
Legends,Legends,Juice WRLD,6/22/2018,1166,,,,,,,,,,,681282854,186468599,1849004,36108,21004398,157362351,1460530,16,70,,19,62644,2,51320211,87163,136120053,1025107
Legends Never Die,Legends Never Die (feat. Against The Current),League of Legends,9/15/2017,3841,,,,,,,,,,,595564275,529533138,5465670,242500,29092577,304569731,82405791,5,115,,6,48476,22,32188584,88806,,1393802
Lehanga,Lehanga,Jass Manak,7/25/2019,1305,,,,,,,,,,,41063045,1741817091,12058286,3495,326094,7747330,26897247,1,,,,,,,,,
Leja Re,Leja Re,Dhvani Bhanushali,11/24/2018,3504,,,,,,,,,,,64612903,1035234284,6201188,,1418,8550,95977596,7,225,,,,2,,,,136790
"Leke Prabhu Ka Naam (From ""Tiger 3"")","Leke Prabhu Ka Naam (From ""Tiger 3"")",Pritam,10/23/2023,1952,,,,,,,,,,,31783195,172518289,1926806,,,,87239915,3,600,,1,584,12,404,,,41934
Lemon,Lemon,Kenshi Yonezu,3/14/2018,4108,,,,,,,,,,,194955459,918297076,3387075,10560,2261247,19949350,585794619,39,1953,,3,7049,4,163464,594,,608684
Lemonade,Lemonade,Internet Money,8/14/2020,523,,,,,,,,,,,1320495311,446997037,4911417,1028504,178619501,1355578291,232205977,191,1353,147,67,1457645,3,100566058,32236,,4854882
LET GO,LET GO,Central Cee,12/15/2022,526,,,,,,,,,,,415699405,120716253,1505981,71800,43271885,459919455,39958162,37,59291,271,24,581393,41,3691271,1120,,1781022
Let Her Go,Let Her Go,Passenger,7/27/2012,484,,,,,,,,,,,2252713547,3967431755,18261574,822,19565297,198665893,1802593895,153,128380,,12,16047,14,992473803,965474,57076563,
Let Her Go,All The Little Lights,Passenger,1/1/2012,3534,,,,,,,,,,,2252713547,423531195,4118839,244760,66168928,641996440,78846239,192,1578,288,103,865488,13,,,,33584600
Let It Go,Frozen (Original Motion Picture Soundtrack),Idina Menzel,1/1/2013,374,,,,,,,,,,,759374819,4168791151,11589558,837092,81957005,966469545,93296828,151,5863,,31,159525,45,273693240,3302248,,2515774
Let It Go,Let It Go,James Bay,1/1/2014,2338,,,,,,,,,,,1197774081,580076338,3685849,91701,14356531,112554627,115081691,220,43670,107,71,277681,18,472029142,235172,37231576,9218458
Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,5/25/2018,769,,,,,,,,,,,1709991997,1447964376,19917766,2026064,188810282,2833687729,1915732260,1,1563,132,41,460093,10,,,,
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,7/1/2019,1231,,,,,,,,,,,503584339,125086953,1299743,204105,22035785,126546185,5351849,14,9,,5,64314,2,15467818,30501,94025613,1953038
Let Me Love You,Encore,DJ Snake,8/5/2016,403,,,,,,,,,,,2147028486,2457588032,18290642,4116973,49564235,528988791,1945612445,239,192774,208,163,1417821,97,418986672,113233,,15320597
Let Me Love You,Turning Point,Mario,1/1/2004,3608,,,,,,,,,,,971172980,996052113,5781852,158366,21655145,171491357,559214970,119,112158,106,86,1476213,31,1022198659,550385,139191,6473758
Let The Light In (feat. Father John Misty),Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,3/10/2023,3932,,,,,,,,,,,240686521,21619,626,159400,53743157,349168412,,3,2028,22,13,499463,5,912274,2652,149385,632580
LET THE WORLD BURN,LET THE WORLD BURN,Chris Grey,3/8/2024,4136,,,,,,,,,,,35384383,9732061,192816,,,,,4,,,,,,123192,766,1164565,91407
Let You Down,Let You Down,NF,9/15/2017,1034,,,,,,,,,,,1472430869,668707222,7011620,754672,35519027,270757450,128349191,68,67662,137,30,104624,11,484243114,237879,,8887316
Let You Love Me,Let You Love Me,Rita Ora,9/21/2018,3183,,,,,,,,,,,527760843,684308632,3187514,567303,32541583,367325979,464869129,64,1348,,38,343131,9,21977587,9351,1709056,5278882
Let Your Boys Be Country,Let Your Boys Be Country,Jason Aldean,8/25/2023,3456,,,,,,,,,,,21485335,5878965,68296,7812,786980,9858141,151380225,9,85293,8,,,11,28859182,1470,242451,92321
LET'S GET FKD UP,LET'S GET FKD UP (feat. Tribbs),Alok,11/17/2023,2034,,,,,,,,,,,125445403,328527,4004,,,,,32,95,,64,6504061,25,5270,29,,404270
Let's Go 4,Let's Go 4,Mc IG,9/11/2023,511,,,,,,,,,,,269785626,286261279,1999463,,,,1110835700,11,,,38,9909048,19,,,35050,417614
Let's Love,Let's Love,Sia,9/11/2020,3509,,,,,,,,,,,222571023,68547283,647482,851690,20613081,221346418,13295182,102,229947,,73,896662,22,1541516,605,,5019153
Levels,Levels (feat. Sunny Malton),Sidhu Moose Wala,5/25/2022,3510,,,,,,,,,,,146988095,262992730,4331524,274492,4894124,69189680,826816,8,259,,,,3,99964,,,366308
Levitating,Future Nostalgia,Dua Lipa,3/27/2020,841,,,,,,,,,,,946842175,39855160,660222,1493355,552112407,4779580212,52496892,269,704419,,73,1232589,107,85497325,33210,,3946971
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/2020,184,,,,,,,,,,,2074721986,1665434424,15432964,858364,324510578,2649555956,4124133645,388,476547,659,250,2098761,46,188728577,98317,,7948325
Ley Seca,Ley Seca,Jhay Cortez,9/2/2021,2462,,,,,,,,,,,412597562,209120821,1034481,54784,15795689,201664757,101896667,76,17486,63,14,26817,41,6085764,2044,,917173
Le�,Le��o - Si,Mar��lia Mendo,12/8/2022,999,,,,,,,,,,,415752953,423072409,2136310,318300,58453253,754580262,1139343976,26,8809,,55,7373693,13,14151,29,,280389
Libaas,Libaas,Kaka,11/19/2020,1889,,,,,,,,,,,76630812,964253382,9620300,199165,7327817,99450429,865457,4,20,,,,5,7,,,264288
Lie,Perception,NF,10/6/2017,4195,,,,,,,,,,,582549538,231140951,2179847,101201,17464697,93392003,28442651,10,51559,,13,5047,2,254950295,76133,,2288366
life gets hard,life gets hard,iilliaa,10/27/2023,4448,,,,,,,,,,,36157546,2802960,43834,124990,23668150,237070526,475388,13,3060,,26,309921,1,,,,456093
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,7/17/2020,424,,,,,,,,,,,568230113,531872316,9887683,8041280,1122403923,11938256726,2159219012,46,48336,774,19,356456,16,13530275,21169,,4910428
Life Goes On,BE,BTS,11/20/2020,1594,,,,,,,,,,,717715448,640225413,19718272,899627,211335376,1177171729,246545164,55,23706,,15,324211,12,2059991,7952,,1991071
Life in Rio,Life in Rio (feat. TOLCHONOV) - Single,Slowboy,3/17/2023,3370,,,,,,,,,,,126698724,59317671,717944,5548,10658836,102518739,,1,1,,,,5,,,7853963,456679
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,1/10/2020,189,,,,,,,,,,,1237874594,2430804498,12334565,584648,77631196,964755757,430690809,187,7602,47,95,487631,32,222732085,88462,,5329382
Life's A Mess (feat. Halsey),Life's A Mess (feat. Halsey),Juice WRLD,7/6/2020,3442,,,,,,,,,,,319737440,108796209,1558911,8422,1394175,11172071,436544,20,99,,9,94300,6,31215577,10159,28894710,375289
Lifetime,Lifetime,Tobiahs,1/12/2024,4010,,,,,,,,,,,33401958,2070128,36023,,,,474165,18,3829,111,15,410514,8,114171,65,1704088,292069
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,10/28/2022,563,,,,,,,,,,,378282960,44883383,477531,676437,120792885,1367774822,,109,244607,4,56,951077,79,70799533,27709,,5877217
Light It Up (feat. Nyla & Fuse ODG) [Remix],Peace Is The Mission,Major Lazer,5/29/2015,1907,,,,,,,,,,,1293191157,606547382,4505365,5601,1739806,19401692,207022466,209,54267,448,71,492309,15,115098360,25201,70181589,10975728
Light Switch,Light Switch (Instrumental),Charlie Puth,1/19/2022,782,,,,,,,,,,,593554969,284499511,3909648,506518,475880505,4729678365,3277338062,98,201936,866,30,685471,48,55256200,10657,2916780,2231820
Lighter,Lighter (Extended Mix),Galantis,2/16/2024,2295,,,,,,,,,,,35712909,1679600,30410,,,,23503476,29,49835,69,31,1270197,15,502092,64,,271031
Lihim,Lihim,Arthur Miguel,7/28/2023,3849,,,,,,,,,,,68411628,19337973,108046,782499,25356960,297146611,11088461,4,687,,,,,,,,21919
Like Crazy,FACE,Jimin,3/24/2023,1308,,,,,,,,,,,1165398518,139608215,4239579,20340,5827931,25133495,252370542,20,7682,12,38,10012693,2,34061208,1010,,830091
Like I Want You,LIKE I WANT YOU,Giveon,11/21/2019,3623,,,,,,,,,,,382565051,121875542,986189,62502,17799186,123745488,1263721,55,25,24,14,71931,1,26786493,21467,21223826,1222113
Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),Meghan Trainor,1/9/2015,3457,,,,,,,,,,,1060255231,950074212,5331921,639780,19939783,196304893,200462207,117,54682,32,183,224787,23,,,,8460234
Like That,WE DON'T TRUST YOU,Future,3/22/2024,14,,,,135631965,117151300,33644505,,,,,355186436,98081493,1456177,,,,174491415,153,90237,3,55,3001826,109,26252264,18364,12038034,1963314
Like That,WE DON'T TRUST YOU,Future,3/20/2024,2774,,,,135631965,117151300,33644505,,,,,352623365,,,,,,,136,,,2,126445,,,,,
Like That (feat. Gucci Mane),Hot Pink,Doja Cat,11/7/2019,1405,,,,,,,,,,,510302007,459871445,4568451,2547877,236793401,1918118365,36132882,69,225,89,22,84411,11,62486526,58814,16479480,3413408
